aX,aY,aZ,gX,gY,gZ
-0.022,1.812,0.812,95.703,-10.742,109.375
0.003,1.884,0.895,75.623,-15.686,106.140
0.045,1.941,0.972,58.533,-16.968,101.563
0.058,1.974,1.008,47.913,-12.756,93.201
0.080,1.997,1.013,44.861,-3.479,81.482
0.092,2.006,0.989,44.189,5.737,68.665
0.086,2.017,0.951,41.077,13.123,56.763
0.094,2.024,0.934,33.020,17.151,47.058
0.100,2.021,0.913,20.508,17.273,39.124
0.117,2.001,0.902,8.301,18.860,30.090
0.151,1.960,0.879,-0.244,21.729,19.165
0.154,1.900,0.835,-9.155,23.926,9.277
0.165,1.809,0.791,-18.005,24.353,0.000
0.200,1.755,0.759,-25.085,25.513,-8.179
0.226,1.678,0.753,-30.457,28.320,-13.855
0.244,1.598,0.727,-36.621,26.978,-20.020
0.243,1.527,0.684,-42.053,25.269,-26.001
0.264,1.457,0.649,-45.349,26.489,-31.982
0.297,1.399,0.646,-49.255,29.358,-36.682
0.325,1.356,0.644,-55.298,30.396,-39.978
0.343,1.301,0.635,-63.965,30.396,-40.955
0.356,1.262,0.619,-73.730,30.273,-40.344
0.360,1.255,0.609,-82.520,29.724,-39.551
0.355,1.267,0.610,-89.966,29.236,-38.879
0.334,1.293,0.598,-96.680,29.968,-39.734
0.326,1.290,0.584,-100.342,33.264,-43.518
0.305,1.243,0.537,-101.929,36.499,-48.706
0.289,1.171,0.488,-99.854,41.504,-54.016
0.277,1.108,0.437,-94.543,45.288,-59.326
0.255,1.061,0.398,-87.463,45.044,-64.636
0.273,1.039,0.390,-81.604,44.617,-69.946
0.294,1.019,0.392,-79.346,41.748,-72.754
0.305,0.973,0.388,-81.909,39.307,-72.632
0.311,0.900,0.397,-87.097,38.330,-69.946
0.303,0.865,0.405,-93.201,38.513,-65.125
0.275,0.881,0.419,-98.083,39.124,-61.401
0.230,0.904,0.382,-103.027,37.720,-59.875
0.203,0.857,0.352,-107.727,39.551,-58.960
0.159,0.806,0.294,-109.314,39.124,-58.716
0.130,0.760,0.255,-105.042,35.950,-61.401
0.102,0.724,0.228,-97.168,32.959,-64.758
0.079,0.651,0.226,-88.074,33.264,-67.627
0.055,0.571,0.220,-77.576,33.386,-69.885
0.009,0.511,0.228,-66.101,35.583,-70.679
-0.036,0.506,0.227,-55.054,34.790,-72.510
-0.069,0.489,0.202,-49.927,29.175,-74.829
-0.081,0.398,0.185,-49.988,27.466,-73.364
-0.085,0.297,0.177,-49.988,26.428,-70.435
-0.093,0.244,0.156,-44.861,19.653,-67.871
-0.099,0.213,0.146,-37.292,14.221,-64.087
-0.107,0.167,0.147,-31.067,9.827,-59.143
-0.143,0.141,0.134,-27.405,2.869,-51.758
-0.191,0.129,0.126,-24.902,-1.831,-42.358
-0.211,0.118,0.117,-21.851,-4.639,-34.180
-0.215,0.114,0.117,-18.555,-8.057,-26.062
-0.230,0.128,0.097,-16.602,-14.404,-17.151
-0.252,0.149,0.088,-15.991,-21.179,-7.019
-0.247,0.193,0.095,-15.137,-27.588,2.319
-0.242,0.242,0.105,-12.268,-33.752,10.071
-0.234,0.306,0.112,-6.287,-37.170,16.663
-0.247,0.386,0.098,1.099,-39.429,20.569
-0.257,0.474,0.089,6.348,-42.847,22.949
-0.255,0.538,0.070,8.301,-48.706,24.475
-0.210,0.593,0.065,10.498,-53.345,24.353
-0.128,0.646,0.056,11.292,-55.054,24.536
-0.077,0.681,0.029,8.362,-56.335,27.222
-0.042,0.721,-0.001,3.845,-57.678,31.189
0.007,0.763,-0.021,-0.977,-60.242,34.424
0.044,0.783,-0.012,-4.700,-63.538,36.987
0.071,0.832,0.023,-5.920,-67.627,37.415
0.104,0.872,0.067,-4.395,-73.608,34.302
0.153,0.907,0.114,-1.404,-77.942,29.968
0.223,0.919,0.170,2.319,-79.956,23.743
0.278,0.912,0.220,6.592,-80.383,16.785
0.314,0.910,0.262,10.193,-80.078,10.986
0.353,0.928,0.297,12.695,-79.224,5.920
0.413,0.962,0.321,14.038,-77.698,0.488
0.439,1.014,0.311,13.550,-74.463,-3.479
0.427,1.078,0.265,9.094,-72.205,-6.348
0.423,1.105,0.228,0.305,-72.754,-9.277
0.439,1.082,0.203,-8.545,-76.111,-13.245
0.462,1.012,0.194,-10.925,-77.026,-19.470
0.479,0.942,0.176,-4.395,-75.867,-27.405
0.468,0.880,0.128,7.141,-74.097,-36.621
0.464,0.835,0.104,18.127,-73.120,-45.471
0.477,0.811,0.120,22.400,-75.134,-52.368
0.481,0.753,0.151,18.005,-78.003,-55.725
0.535,0.685,0.198,10.376,-79.224,-55.725
0.620,0.658,0.232,5.493,-79.468,-53.894
0.744,0.648,0.248,2.686,-78.979,-51.575
0.854,0.647,0.256,0.977,-74.829,-47.974
0.889,0.654,0.236,-0.183,-68.726,-43.335
0.889,0.665,0.225,0.854,-62.866,-39.551
0.865,0.718,0.219,3.357,-60.059,-38.635
0.859,0.748,0.229,5.676,-58.472,-40.649
0.903,0.775,0.234,5.859,-59.021,-43.518
0.991,0.786,0.245,4.700,-60.547,-46.082
1.082,0.768,0.275,3.296,-61.401,-46.814
1.161,0.754,0.320,3.906,-59.753,-46.021
1.199,0.751,0.368,8.057,-56.274,-44.434
1.206,0.765,0.415,13.611,-52.368,-43.640
1.247,0.829,0.443,19.714,-47.791,-44.678
1.192,0.761,0.510,19.531,-39.551,-40.222
1.156,0.814,0.463,15.930,-43.823,-44.617
1.200,0.778,0.523,16.785,-35.522,-44.495
1.179,0.779,0.496,13.794,-28.625,-40.466
1.153,0.754,0.475,9.521,-25.879,-36.560
1.120,0.731,0.444,6.897,-23.926,-33.203
1.074,0.720,0.444,5.188,-22.705,-29.236
1.036,0.697,0.474,5.310,-18.433,-25.635
0.999,0.706,0.506,7.507,-13.611,-23.010
0.959,0.719,0.511,9.338,-8.179,-21.179
0.919,0.719,0.497,8.667,-2.502,-18.982
0.898,0.714,0.460,5.981,2.441,-15.930
0.877,0.702,0.420,2.319,6.531,-12.085
0.842,0.690,0.376,-0.854,9.216,-8.057
0.807,0.683,0.337,-2.319,10.010,-4.578
0.766,0.688,0.313,-2.991,10.132,-2.747
0.728,0.692,0.298,-3.418,9.644,-1.221

0.242,1.721,0.825,124.329,-48.584,149.841
0.262,1.871,0.888,123.047,-44.128,141.724
0.304,2.042,0.978,112.915,-42.175,135.742
0.358,2.201,1.057,92.529,-41.382,132.446
0.401,2.295,1.122,69.885,-37.598,128.967
0.446,2.399,1.170,52.856,-29.114,122.620
0.466,2.476,1.159,41.016,-17.578,111.511
0.499,2.535,1.152,31.860,-3.235,96.436
0.520,2.587,1.116,17.822,9.277,85.388
0.518,2.530,1.146,-0.854,17.090,75.195
0.466,2.481,1.030,-18.372,15.564,62.683
0.445,2.415,0.963,-27.649,26.917,46.753
0.422,2.296,0.883,-30.457,37.109,29.419
0.442,2.178,0.852,-31.433,47.058,12.024
0.425,2.063,0.774,-35.522,47.058,-1.404
0.419,1.932,0.744,-42.419,46.631,-11.169
0.395,1.797,0.702,-48.889,45.532,-20.508
0.398,1.670,0.656,-54.321,45.410,-29.663
0.398,1.541,0.619,-59.753,49.011,-36.133
0.385,1.434,0.577,-65.979,51.147,-39.734
0.356,1.369,0.546,-72.449,49.561,-41.443
0.323,1.334,0.516,-80.688,46.326,-42.664
0.307,1.305,0.512,-89.844,43.701,-43.457
0.297,1.293,0.506,-95.581,41.565,-45.349
0.279,1.278,0.492,-96.558,39.001,-50.415
0.263,1.232,0.481,-93.750,38.696,-56.885
0.252,1.213,0.460,-87.097,43.213,-64.331
0.263,1.157,0.439,-79.895,51.392,-72.266
0.256,1.063,0.390,-77.148,55.725,-77.209
0.243,0.960,0.349,-77.698,56.763,-79.041
0.215,0.890,0.315,-81.665,55.054,-77.576
0.181,0.858,0.262,-89.539,48.889,-74.829
0.163,0.799,0.217,-98.083,42.114,-72.571
0.143,0.699,0.193,-102.234,36.377,-71.960
0.135,0.591,0.202,-97.717,34.912,-73.181
0.142,0.465,0.206,-84.595,37.231,-74.524
0.120,0.391,0.208,-68.848,41.687,-73.364
0.064,0.371,0.181,-55.603,41.870,-72.449
0.065,0.349,0.159,-49.683,39.124,-72.327
0.084,0.276,0.140,-48.828,36.011,-70.190
0.084,0.211,0.098,-46.814,31.982,-65.430
0.073,0.192,0.080,-40.833,26.550,-61.279
0.055,0.228,0.061,-34.424,19.531,-57.678
0.061,0.213,0.087,-31.433,14.832,-53.955
0.080,0.203,0.101,-28.809,10.620,-49.988
0.097,0.238,0.111,-22.217,11.169,-45.166
0.084,0.286,0.115,-15.198,12.146,-40.283
0.059,0.322,0.090,-10.986,7.019,-35.339
0.038,0.352,0.105,-6.958,4.578,-30.090
0.022,0.397,0.135,-1.709,1.343,-26.611
0.013,0.453,0.178,2.991,-3.906,-24.902
-0.000,0.506,0.207,6.165,-9.827,-23.437
-0.027,0.540,0.247,8.972,-13.794,-21.423
-0.068,0.558,0.276,11.047,-17.761,-20.020
-0.071,0.566,0.329,11.597,-20.996,-18.433
-0.070,0.573,0.380,7.568,-23.804,-15.076
-0.082,0.588,0.410,-0.305,-26.794,-10.193
-0.090,0.602,0.400,-9.766,-29.785,-6.531
-0.094,0.589,0.385,-17.395,-29.236,-3.418
-0.090,0.590,0.357,-22.034,-30.090,-0.427
