aX,aY,aZ,gX,gY,gZ
1.489,1.531,0.351,54.810,-115.662,70.984
1.727,1.768,0.564,53.101,-120.300,61.218
1.995,1.932,0.742,57.251,-118.469,46.936
2.254,2.069,0.868,58.899,-110.657,33.691
2.470,2.236,0.988,52.185,-97.656,25.208
2.609,2.419,1.093,36.743,-84.045,19.043
2.685,2.567,1.188,18.250,-69.214,10.132
2.626,2.637,1.290,1.221,-53.894,-1.953
2.649,2.710,1.361,-14.343,-36.743,-23.560
2.527,2.596,1.386,-26.184,-17.456,-44.617
2.253,2.423,1.333,-40.466,3.540,-61.951
2.150,2.262,1.249,-53.711,23.743,-82.336
1.953,2.027,1.216,-64.087,38.330,-97.717
1.753,1.885,1.129,-78.308,51.758,-107.971
1.534,1.766,1.052,-93.811,62.805,-116.516
1.295,1.616,0.957,-108.154,73.608,-126.709
1.090,1.411,0.816,-119.263,85.205,-139.465
0.943,1.149,0.674,-123.352,99.304,-151.550
0.813,0.906,0.577,-123.291,118.164,-154.724
0.690,0.719,0.493,-130.676,130.249,-147.583
0.538,0.607,0.388,-148.254,123.230,-133.362
0.374,0.546,0.297,-164.917,104.858,-119.629
0.245,0.452,0.187,-170.837,87.769,-113.342
0.130,0.382,0.169,-162.598,76.660,-112.854
0.033,0.309,0.261,-143.372,70.129,-119.934
0.040,0.193,0.323,-127.014,61.340,-131.531
0.007,0.019,0.364,-118.591,57.190,-139.832
-0.016,-0.177,0.342,-120.483,57.922,-141.846
-0.064,-0.358,0.294,-130.371,60.181,-137.329
-0.108,-0.543,0.200,-140.015,60.486,-129.517
-0.129,-0.736,0.084,-141.235,60.303,-121.094
-0.140,-0.854,-0.024,-128.967,59.509,-111.572
-0.120,-0.954,-0.101,-108.032,55.054,-103.455
-0.079,-1.020,-0.118,-85.144,47.485,-96.802
-0.000,-1.042,-0.108,-66.223,39.368,-90.393
0.110,-1.036,-0.102,-56.213,34.973,-81.787
0.200,-1.000,-0.106,-55.481,35.828,-67.810
0.261,-0.933,-0.134,-59.509,36.255,-51.208
0.327,-0.868,-0.190,-61.584,32.471,-35.706
0.389,-0.809,-0.259,-57.495,24.719,-23.804
0.443,-0.730,-0.329,-48.462,12.207,-14.465
0.506,-0.638,-0.375,-38.391,-1.099,-7.202
0.559,-0.541,-0.364,-31.006,-13.000,-0.854
0.582,-0.432,-0.336,-28.564,-25.330,6.226
0.637,-0.335,-0.250,-27.466,-31.189,11.902
0.704,-0.252,-0.166,-25.269,-31.616,15.442
0.765,-0.194,-0.134,-20.874,-28.503,16.968
0.780,-0.142,-0.191,-14.160,-22.400,17.151
0.799,-0.116,-0.253,-7.568,-12.268,17.029
