aX,aY,aZ,gX,gY,gZ
-0.553,-0.116,2.426,40.405,-36.743,-33.630
-0.674,-0.213,2.753,51.025,-12.329,-29.968
-0.796,-0.309,3.020,64.758,18.677,-20.874
-0.913,-0.407,3.247,79.346,58.044,-7.935
-1.043,-0.558,3.399,91.919,102.234,7.385
-1.148,-0.626,3.435,99.243,152.710,28.137
-1.283,-0.643,3.322,99.426,205.811,50.049
-1.406,-0.617,3.140,91.248,257.874,68.909
-1.505,-0.571,2.879,77.271,307.434,83.740
-1.617,-0.507,2.565,63.904,349.731,96.130
-1.712,-0.431,2.237,55.481,385.254,106.995
-1.777,-0.409,1.891,51.331,414.124,116.699
-1.839,-0.444,1.531,44.617,438.049,124.512
-1.903,-0.397,1.141,24.292,457.581,131.775
-1.977,-0.273,0.710,-6.531,468.140,134.766
-1.846,-0.106,0.320,-37.964,469.727,129.761
-1.674,-0.023,-0.006,-57.129,461.548,119.324
-1.519,0.057,-0.285,-61.584,448.364,109.131
-1.328,0.100,-0.502,-51.575,431.335,102.356
-1.076,0.102,-0.619,-32.104,407.898,99.060
-0.882,0.106,-0.701,-10.559,380.432,99.060
-0.698,0.127,-0.740,8.240,355.957,100.586
-0.522,0.179,-0.769,18.921,336.487,101.807
-0.329,0.198,-0.756,24.048,320.068,101.318
-0.101,0.196,-0.764,25.940,307.434,100.342
0.103,0.165,-0.793,19.043,295.105,96.313
0.246,0.150,-0.850,1.099,283.997,89.539
0.355,0.243,-0.995,-25.513,276.062,79.529
0.465,0.336,-1.127,-47.729,264.587,65.186
0.474,0.324,-1.158,-53.040,248.901,50.049
0.480,0.242,-1.140,-47.180,234.131,39.917
0.515,0.167,-1.148,-45.715,224.854,35.095
0.567,0.117,-1.188,-49.316,219.116,32.898
0.635,0.078,-1.195,-50.659,208.862,32.410
0.686,0.084,-1.186,-52.429,196.167,31.555
0.725,0.133,-1.211,-53.284,183.716,28.992
0.780,0.181,-1.221,-45.898,169.617,25.574
0.820,0.234,-1.227,-28.870,154.907,23.010
0.865,0.263,-1.215,-2.197,141.541,23.926
0.870,0.253,-1.176,31.860,129.883,27.832
0.875,0.208,-1.112,62.500,120.544,32.410
0.894,0.140,-1.047,79.285,114.075,35.339
0.900,0.098,-1.009,78.247,108.215,36.438
0.918,0.119,-1.010,62.805,101.685,36.377
0.919,0.172,-1.021,43.091,90.454,34.058
0.937,0.237,-1.051,23.987,77.271,28.320
0.941,0.286,-1.054,10.498,64.087,22.278
0.979,0.333,-1.027,6.775,49.988,17.456
0.945,0.323,-0.986,12.146,34.363,14.343
0.948,0.329,-0.934,20.020,25.391,13.184
0.939,0.316,-0.828,29.846,14.648,13.489
0.925,0.265,-0.698,35.583,4.028,11.597
0.916,0.213,-0.590,34.485,-1.709,8.362
0.912,0.174,-0.526,28.992,-4.700,6.714
0.907,0.161,-0.487,20.935,-5.371,6.592
0.903,0.184,-0.478,12.817,-4.578,7.141
0.904,0.217,-0.470,8.179,-4.578,8.057
0.906,0.243,-0.435,5.859,-5.920,7.751
0.900,0.252,-0.403,4.211,-7.690,5.676
0.898,0.259,-0.382,2.075,-7.690,3.113
0.904,0.255,-0.379,0.977,-6.836,1.099
0.910,0.228,-0.362,2.136,-6.714,-0.732
0.919,0.188,-0.346,3.052,-7.019,-1.404
0.915,0.159,-0.325,2.014,-7.141,-1.648
0.915,0.152,-0.325,-1.160,-6.592,-1.404
0.915,0.158,-0.329,-5.310,-5.615,-1.404
0.921,0.166,-0.335,-8.118,-5.066,-1.343
0.919,0.182,-0.340,-9.338,-4.272,-1.465
0.921,0.203,-0.351,-8.606,-2.930,-1.038
0.927,0.214,-0.371,-3.723,-1.465,-0.305
0.924,0.200,-0.379,3.113,-0.977,0.061
0.926,0.174,-0.372,7.263,-2.014,0.061
0.921,0.149,-0.357,6.714,-3.662,-0.732
0.916,0.142,-0.361,2.075,-4.211,-1.465
0.918,0.142,-0.369,-2.869,-4.028,-1.526
0.915,0.137,-0.382,-6.775,-3.357,-1.221
0.917,0.150,-0.399,-9.094,-1.953,0.122
0.914,0.175,-0.414,-10.010,-1.709,1.587
0.915,0.212,-0.419,-9.705,-2.563,2.136
0.914,0.230,-0.400,-7.202,-4.028,1.892
0.907,0.220,-0.373,-3.235,-5.371,0.610
0.911,0.200,-0.335,-1.709,-5.859,-0.854
0.908,0.178,-0.314,-3.601,-6.042,-2.380
0.908,0.168,-0.309,-7.263,-4.578,-3.113
0.910,0.170,-0.312,-10.071,-2.808,-2.747
0.908,0.179,-0.314,-11.902,-1.831,-1.404
0.903,0.203,-0.327,-13.000,-0.671,-0.549
0.906,0.221,-0.352,-13.000,0.183,-1.160
0.911,0.219,-0.363,-11.841,0.610,-2.625
0.910,0.199,-0.365,-9.521,0.366,-4.028
0.913,0.166,-0.373,-7.385,0.854,-5.432
0.919,0.143,-0.381,-6.226,1.465,-5.737
0.920,0.117,-0.385,-5.371,0.977,-5.676
0.924,0.104,-0.380,-5.371,0.488,-5.188
0.919,0.104,-0.380,-6.409,-0.122,-4.395
0.922,0.110,-0.376,-7.996,-0.610,-3.967
0.921,0.114,-0.373,-8.667,-0.793,-3.601
0.919,0.113,-0.375,-8.606,-0.671,-3.357
0.920,0.119,-0.385,-7.568,0.000,-3.357
0.926,0.114,-0.397,-5.310,0.183,-3.296
0.931,0.099,-0.397,-3.174,-0.854,-3.357
0.928,0.084,-0.386,-1.770,-2.014,-3.235
0.926,0.080,-0.389,-1.709,-1.831,-2.991
0.931,0.083,-0.397,-2.380,-1.648,-2.197
0.929,0.091,-0.398,-3.235,-2.319,-1.221
0.927,0.103,-0.401,-3.845,-2.563,-0.549
0.924,0.116,-0.404,-3.296,-2.747,0.427
0.925,0.126,-0.404,-2.197,-3.479,0.854
0.927,0.132,-0.396,-1.587,-4.150,0.793
0.923,0.131,-0.386,-0.488,-5.188,0.488
0.924,0.131,-0.378,0.244,-5.371,0.366
0.925,0.130,-0.369,0.671,-5.615,0.427
0.924,0.133,-0.372,1.404,-5.920,0.549
0.925,0.134,-0.375,2.319,-5.920,0.488
