aX,aY,aZ,gX,gY,gZ
1.177,0.145,1.266,-35.767,-40.588,8.850
1.295,0.253,1.162,-17.456,-41.016,13.428
1.429,0.402,1.027,2.197,-47.241,15.259
1.510,0.594,0.908,19.714,-57.495,17.761
1.538,0.798,0.775,31.982,-69.641,16.846
1.470,1.002,0.652,36.255,-83.679,9.460
1.298,1.137,0.622,28.198,-99.060,-4.028
1.161,1.169,0.747,6.287,-109.680,-21.912
1.003,1.186,0.777,-26.062,-108.643,-36.682
0.673,1.164,0.727,-53.223,-96.680,-44.189
0.280,1.057,0.690,-60.669,-77.698,-50.842
-0.106,0.818,0.685,-51.086,-56.702,-58.105
-0.508,0.493,0.617,-37.292,-32.654,-56.030
-1.008,0.363,0.452,-23.560,-9.033,-43.518
-1.488,0.256,0.307,5.737,1.160,-39.307
-1.807,0.279,0.205,45.715,0.793,-47.424
-2.145,0.340,0.172,86.304,-1.892,-63.110
-2.523,0.329,0.230,115.601,-14.709,-91.003
-2.843,0.394,0.407,100.159,-39.551,-130.127
-2.929,0.169,0.731,30.945,-73.975,-183.350
-2.684,-0.340,1.142,-81.482,-114.197,-236.511
-2.114,-0.961,1.446,-191.223,-145.935,-260.803
-1.428,-1.418,1.599,-242.615,-148.560,-240.967
-0.817,-1.622,1.612,-206.726,-115.356,-193.115
-0.412,-1.742,1.599,-112.976,-65.369,-148.132
-0.108,-1.820,1.430,-27.039,-20.264,-107.788
0.051,-1.717,1.176,17.944,15.991,-50.903
-0.367,-1.127,0.737,46.265,50.537,26.123
-0.786,-0.582,0.561,69.824,73.669,90.942
-0.730,0.064,0.535,91.553,75.928,123.962
-0.671,0.650,0.561,114.502,63.843,128.357
-0.656,1.102,0.616,129.395,38.940,114.624
-0.521,1.337,0.734,130.249,25.818,88.135
-0.458,1.392,0.799,110.596,19.897,57.068
-0.409,1.281,0.828,72.205,19.104,31.860
-0.349,1.068,0.825,26.733,22.522,10.803
-0.388,0.785,0.772,-11.536,20.508,-4.028
-0.373,0.549,0.722,-34.180,18.311,-15.198
-0.353,0.352,0.708,-40.710,13.794,-23.010
-0.353,0.202,0.729,-37.415,6.470,-26.733
-0.344,0.101,0.791,-30.701,-0.183,-25.696
-0.331,0.061,0.876,-24.902,-5.249,-20.203
-0.313,0.078,0.950,-17.883,-7.568,-12.451
-0.304,0.125,1.002,-7.874,-7.019,-5.920
-0.298,0.169,1.032,4.089,-3.906,-2.380
-0.281,0.208,1.037,14.832,1.099,-0.183
-0.286,0.230,1.008,21.851,8.240,1.282
-0.274,0.252,0.957,22.278,15.442,2.441
-0.283,0.245,0.893,17.090,19.348,3.784
-0.289,0.253,0.844,9.033,19.165,3.784
-0.281,0.262,0.815,0.305,15.869,3.479
-0.281,0.260,0.801,-7.507,10.986,2.686
-0.269,0.247,0.809,-11.169,5.798,0.549
-0.259,0.223,0.827,-12.207,0.549,-1.343
-0.243,0.183,0.872,-11.169,-2.563,-1.709
-0.216,0.163,0.914,-9.583,-4.211,-1.160
-0.204,0.182,0.947,-7.935,-3.418,0.610
-0.211,0.233,0.973,-3.479,-0.793,1.953
-0.226,0.267,0.986,2.625,1.343,0.427
-0.237,0.248,1.001,6.958,3.174,-2.502
-0.239,0.199,0.999,6.409,4.517,-3.845
