aX,aY,aZ,gX,gY,gZ
-0.239,-0.417,2.759,76.111,37.720,-33.936
-0.359,-0.603,3.010,80.750,59.875,-27.222
-0.451,-0.725,3.128,77.942,94.910,-13.550
-0.537,-0.820,3.120,67.078,137.817,3.357
-0.628,-0.784,3.001,50.354,185.181,24.048
-0.699,-0.724,2.764,34.363,229.248,43.213
-0.772,-0.683,2.489,23.743,263.367,58.533
-0.877,-0.610,2.190,11.108,291.443,71.045
-0.990,-0.496,1.859,-3.601,314.148,78.430
-1.083,-0.328,1.541,-14.832,330.750,80.688
-1.128,-0.259,1.257,-16.785,338.928,77.576
-1.134,-0.204,0.964,-17.212,343.994,71.960
-1.127,-0.186,0.726,-20.813,344.543,66.528
-1.095,-0.150,0.524,-27.039,342.712,63.110
-1.005,-0.081,0.365,-31.067,340.820,63.110
-0.912,-0.029,0.213,-27.100,340.881,63.904
-0.787,-0.012,0.044,-16.296,341.858,64.697
-0.659,-0.020,-0.122,-3.845,334.534,65.308
-0.515,-0.002,-0.188,0.793,319.763,63.416
-0.424,0.014,-0.234,-1.648,302.551,56.946
-0.324,0.012,-0.205,-0.977,285.889,50.598
-0.201,-0.023,-0.215,7.141,275.024,48.950
-0.096,-0.044,-0.245,15.381,268.555,53.101
-0.030,-0.058,-0.253,20.935,261.047,58.655
0.029,-0.038,-0.324,24.170,258.789,65.552
0.133,-0.020,-0.412,24.902,257.019,70.923
0.238,-0.010,-0.513,20.264,252.319,74.036
0.363,0.044,-0.647,8.057,245.056,75.500
0.435,0.103,-0.725,-4.028,234.863,76.172
0.481,0.165,-0.762,-11.292,222.900,77.637
0.550,0.243,-0.807,-17.578,214.600,79.529
0.598,0.328,-0.872,-24.414,208.984,78.186
0.607,0.413,-0.969,-32.043,204.529,72.144
0.598,0.467,-1.082,-33.325,201.050,65.613
0.642,0.485,-1.217,-23.743,196.106,62.683
0.691,0.491,-1.345,-10.620,189.880,62.256
0.759,0.485,-1.477,1.038,180.786,60.669
0.824,0.414,-1.588,3.662,166.138,55.725
0.890,0.407,-1.689,-10.071,147.034,47.180
0.912,0.420,-1.730,-30.640,124.268,37.292
0.947,0.404,-1.710,-44.678,101.318,27.771
0.993,0.394,-1.696,-49.438,82.214,21.606
