aX,aY,aZ,gX,gY,gZ
-2.125,0.744,0.471,86.304,-1.587,-50.964
-2.124,0.447,0.583,98.022,-10.559,-93.506
-2.032,0.157,0.670,75.073,-22.888,-115.112
-1.837,-0.055,0.825,35.278,-36.682,-119.019
-1.674,-0.232,0.948,9.399,-48.950,-111.816
-1.491,-0.379,1.078,11.658,-50.171,-99.365
-1.344,-0.379,1.167,37.720,-41.077,-84.839
-1.223,-0.385,1.221,71.838,-28.137,-75.317
-0.996,-0.384,1.283,95.215,-15.259,-67.993
-0.870,-0.373,1.278,98.267,-4.517,-54.810
-0.749,-0.325,1.219,83.679,7.263,-35.400
-0.670,-0.104,1.115,65.735,17.517,-14.343
-0.687,0.065,1.032,52.368,19.226,-2.380
-0.679,0.125,1.052,30.640,10.437,2.502
-0.643,0.131,1.101,6.226,-1.343,7.874
-0.617,0.127,1.108,-5.493,-5.554,15.137
-0.534,0.141,1.138,-0.916,-5.432,20.447
-0.464,0.219,1.205,9.705,-3.479,22.339
-0.430,0.304,1.206,14.038,3.174,21.912
-0.402,0.318,1.119,6.104,9.277,16.479
-0.390,0.255,1.026,-10.193,12.634,9.216
-0.347,0.137,0.936,-29.419,13.123,4.395
-0.300,0.034,0.901,-42.725,10.742,2.808
-0.250,-0.031,0.903,-44.556,5.432,4.883
-0.206,-0.036,0.938,-33.081,1.526,9.399
-0.187,0.039,0.990,-13.062,0.488,14.526
-0.178,0.174,1.025,5.676,1.160,17.273
-0.205,0.218,1.076,19.897,2.991,14.954
-0.166,0.172,1.138,22.400,5.676,10.071
-0.163,0.148,1.151,12.573,9.155,8.362
-0.154,0.106,1.102,0.916,13.794,7.141
-0.111,0.082,1.002,-1.953,18.799,5.798
-0.122,0.068,0.898,6.836,23.804,6.042
-0.119,0.057,0.830,16.846,25.635,6.470
-0.110,0.074,0.807,22.217,23.682,7.690
-0.108,0.081,0.832,25.696,19.409,7.568
-0.107,0.091,0.856,27.344,14.709,6.165
-0.110,0.099,0.854,25.879,11.719,4.395
-0.125,0.132,0.836,21.240,9.216,2.380
-0.141,0.100,0.826,14.587,5.859,-0.793
-0.112,0.051,0.839,5.615,2.075,-2.563
-0.119,0.023,0.901,-1.709,-0.305,-1.221
-0.123,0.035,0.979,-5.615,-1.587,0.122
-0.133,0.045,1.006,-5.554,-0.610,-0.305
-0.137,0.036,0.981,-1.709,2.563,-0.854
-0.138,0.022,0.945,3.845,4.761,-0.488
-0.115,-0.014,0.929,9.399,5.249,0.671
-0.094,-0.009,0.904,13.916,5.981,3.479
-0.088,0.014,0.908,18.188,6.042,5.798
-0.099,0.068,0.897,20.264,5.310,6.836
-0.113,0.078,0.874,17.151,4.639,5.554
-0.132,0.097,0.851,9.583,2.747,5.066
-0.145,0.122,0.844,3.479,0.854,5.005
-0.164,0.118,0.877,1.221,-0.183,4.089
-0.169,0.138,0.912,1.709,-1.099,3.052
-0.153,0.153,0.932,3.052,-0.305,1.770
-0.160,0.161,0.941,4.028,0.000,0.244
-0.164,0.140,0.946,3.601,-0.732,-1.465
-0.163,0.089,0.953,1.038,-1.892,-2.747
-0.149,0.050,0.965,-1.526,-1.770,-2.441
-0.152,0.042,0.962,-1.831,-0.610,-0.610
-0.166,0.054,0.950,1.465,0.366,1.221
-0.174,0.081,0.931,6.653,0.854,2.502
-0.172,0.102,0.927,10.498,0.549,2.808
-0.158,0.097,0.933,10.559,-0.671,1.587
-0.148,0.076,0.958,7.996,-2.869,0.122
-0.136,0.074,0.987,5.066,-4.333,-1.343
-0.137,0.077,0.984,3.052,-4.333,-2.747
-0.138,0.072,0.959,2.197,-2.930,-3.235
-0.147,0.048,0.945,1.160,-2.441,-3.540
-0.141,0.021,0.947,-1.465,-2.808,-3.479
-0.135,0.007,0.953,-3.601,-3.235,-3.052
-0.132,0.004,0.980,-3.052,-3.235,-2.075
-0.143,0.042,0.997,0.183,-2.930,-0.610
-0.153,0.050,0.987,3.784,-2.075,-0.732
-0.151,0.051,0.978,4.333,-1.709,-1.282
-0.156,0.038,0.964,2.563,-1.892,-1.160
-0.149,0.011,0.955,1.953,-2.319,-0.732
-0.151,0.010,0.965,3.845,-2.991,0.061
-0.154,0.032,0.978,6.958,-2.869,0.732
-0.151,0.032,0.992,8.301,-1.953,-0.061
-0.148,0.031,0.993,6.592,-0.366,-0.244
-0.143,0.046,0.978,4.150,1.404,0.488
-0.155,0.043,0.955,4.272,2.808,0.122
-0.146,0.019,0.945,7.202,3.235,-1.221
-0.141,0.002,0.944,10.498,2.136,-1.038
-0.137,-0.016,0.936,10.498,1.526,-0.366
